ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| data['Username']: '1', 'logged in successfully'
ic| data['Username']: '2', 'registered successfully'
ic| data['Username']: '2', 'logged in successfully'
15-01-2024 22:45:30 | ic| current_user: 1, 'used Loans POST.'
15-01-2024 22:57:22 | ic| current_user: 1, 'used Loans POST.'
17-01-2024 10:32:08 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 10:32:26 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 10:41:30 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 10:41:38 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 10:42:08 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 10:43:08 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 10:43:11 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 10:43:42 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 11:06:26 | ic| data['Username']: '1', 'logged in successfully'
17-01-2024 11:07:21 | ic| data['Username']: '1', 'logged in successfully'
17-01-2024 11:09:37 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 11:13:16 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:18:28 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:20:53 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:21:35 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:30:44 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:30:49 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:33:41 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:34:17 | ic| current_user: 1, 'used Loans PUT.'
17-01-2024 11:34:31 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 12:39:09 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 13:02:41 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 13:06:11 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 13:10:46 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 13:12:25 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:07:33 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 14:07:40 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 14:08:07 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:10:27 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:10:34 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:10:51 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:28:12 | ic| current_user: 5, 'used Loans POST.'
